Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_17_73,VGND,li1,39.5600,59.8400,0.000007
FILLER_17_66,VGND,li1,36.1100,59.8400,0.000006
FILLER_17_62,VGND,li1,34.9600,59.8400,0.000006
FILLER_17_53,VGND,li1,30.5900,59.8400,0.000006
FILLER_17_45,VGND,li1,26.9100,59.8400,0.000005
FILLER_17_37,VGND,li1,24.3800,59.8400,0.000005
FILLER_17_25,VGND,li1,19.7800,59.8400,0.000005
FILLER_17_15,VGND,li1,12.6500,59.8400,0.000006
FILLER_17_3,VGND,li1,9.6600,59.8400,0.000006
FILLER_16_141,VGND,li1,71.3000,54.4000,0.000018
FILLER_16_139,VGND,li1,69.6900,54.4000,0.000018
FILLER_16_120,VGND,li1,61.4100,54.4000,0.000017
FILLER_16_108,VGND,li1,57.9600,54.4000,0.000016
FILLER_16_96,VGND,li1,52.4400,54.4000,0.000015
FILLER_16_85,VGND,li1,46.4600,54.4000,0.000014
FILLER_16_83,VGND,li1,43.9300,54.4000,0.000013
FILLER_16_53,VGND,li1,30.8200,54.4000,0.000008
FILLER_16_41,VGND,li1,27.1400,54.4000,0.000007
FILLER_16_29,VGND,li1,21.6200,54.4000,0.000005
FILLER_16_27,VGND,li1,18.1700,54.4000,0.000005
FILLER_16_15,VGND,li1,15.1800,54.4000,0.000005
FILLER_16_3,VGND,li1,9.6600,54.4000,0.000005
FILLER_15_141,VGND,li1,71.3000,54.4000,0.000018
FILLER_15_130,VGND,li1,65.7800,54.4000,0.000018
FILLER_15_122,VGND,li1,63.4800,54.4000,0.000018
FILLER_15_113,VGND,li1,57.9600,54.4000,0.000016
FILLER_15_110,VGND,li1,56.5800,54.4000,0.000016
FILLER_15_102,VGND,li1,54.2800,54.4000,0.000016
FILLER_15_88,VGND,li1,47.8400,54.4000,0.000014
FILLER_15_76,VGND,li1,43.2400,54.4000,0.000013
FILLER_15_65,VGND,li1,36.1100,54.4000,0.000011
FILLER_15_57,VGND,li1,33.5800,54.4000,0.000010
FILLER_15_54,VGND,li1,30.8200,54.4000,0.000008
FILLER_15_42,VGND,li1,27.6000,54.4000,0.000007
FILLER_15_37,VGND,li1,22.7700,54.4000,0.000005
FILLER_15_33,VGND,li1,21.6200,54.4000,0.000005
FILLER_15_22,VGND,li1,17.0200,54.4000,0.000005
FILLER_15_13,VGND,li1,11.7300,54.4000,0.000005
FILLER_15_7,VGND,li1,10.1200,54.4000,0.000005
FILLER_14_147,VGND,li1,73.3700,48.9600,0.000030
FILLER_14_141,VGND,li1,71.7600,48.9600,0.000030
FILLER_14_97,VGND,li1,51.5200,48.9600,0.000027
FILLER_14_85,VGND,li1,47.3800,48.9600,0.000026
FILLER_14_83,VGND,li1,43.9300,48.9600,0.000024
FILLER_14_75,VGND,li1,41.8600,48.9600,0.000023
FILLER_14_63,VGND,li1,37.2600,48.9600,0.000019
FILLER_14_51,VGND,li1,31.7400,48.9600,0.000014
FILLER_14_41,VGND,li1,25.3000,48.9600,0.000010
FILLER_14_29,VGND,li1,21.6200,48.9600,0.000010
FILLER_14_27,VGND,li1,18.1700,48.9600,0.000011
FILLER_14_3,VGND,li1,7.3600,48.9600,0.000011
FILLER_13_142,VGND,li1,72.2200,48.9600,0.000030
FILLER_13_125,VGND,li1,64.8600,48.9600,0.000030
FILLER_13_111,VGND,li1,56.8100,48.9600,0.000028
FILLER_13_103,VGND,li1,53.3600,48.9600,0.000028
FILLER_13_99,VGND,li1,51.2900,48.9600,0.000027
FILLER_13_93,VGND,li1,49.6800,48.9600,0.000027
FILLER_13_76,VGND,li1,40.9400,48.9600,0.000023
FILLER_13_68,VGND,li1,38.6400,48.9600,0.000021
FILLER_13_52,VGND,li1,30.3600,48.9600,0.000014
FILLER_13_40,VGND,li1,26.6800,48.9600,0.000010
FILLER_13_36,VGND,li1,22.3100,48.9600,0.000010
FILLER_13_32,VGND,li1,21.1600,48.9600,0.000010
FILLER_13_27,VGND,li1,18.1700,48.9600,0.000011
FILLER_13_19,VGND,li1,16.1000,48.9600,0.000011
FILLER_13_7,VGND,li1,11.5000,48.9600,0.000011
FILLER_12_141,VGND,li1,71.3000,43.5200,0.000028
FILLER_12_136,VGND,li1,69.0000,43.5200,0.000028
FILLER_12_110,VGND,li1,56.3500,43.5200,0.000025
FILLER_12_104,VGND,li1,54.7400,43.5200,0.000025
FILLER_12_92,VGND,li1,50.6000,43.5200,0.000024
FILLER_12_37,VGND,li1,23.9200,43.5200,0.000010
FILLER_12_27,VGND,li1,18.1700,43.5200,0.000012
FILLER_12_6,VGND,li1,8.5100,43.5200,0.000013
FILLER_11_144,VGND,li1,71.9900,43.5200,0.000028
FILLER_11_125,VGND,li1,63.2500,43.5200,0.000027
FILLER_11_113,VGND,li1,60.2600,43.5200,0.000027
FILLER_11_109,VGND,li1,56.3500,43.5200,0.000025
FILLER_11_97,VGND,li1,52.9000,43.5200,0.000025
FILLER_11_69,VGND,li1,39.1000,43.5200,0.000020
